,subtasks,description,crafter_subtasks
682,"['Collect Drink', 'Make Wood Pickaxe with count 1', 'Collect Stone with count 2']","""Gather a beverage, craft a wooden pickaxe using precisely one piece of wood, and obtain two units of stone.""","['collect_drink', 'make_wood_pickaxe', 'collect_stone', 'collect_stone']"
683,"['Eat Plant', 'Wake Up', 'Collect Coal']"," 'In the land of pixels, bid the being to taste the greenery, awaken from rest, and gather the black stone.'","['eat_plant', 'wake_up', 'collect_coal']"
684,"['Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Slay the skeletal foe, collect wooden planks, craft a table, and forge a wooden weapon.""","['defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_sword']"
685,"['Collect Coal with count 1', 'Make Iron Pickaxe', 'Collect Sapling']","""Gather one unit of coal, craft an iron pickaxe, and obtain a tree sapling.""","['collect_coal', 'make_iron_pickaxe', 'collect_sapling']"
686,"['Make Wood Pickaxe', 'Collect Sapling with count 2', 'Place Plant', 'Eat Plant']"," ""Fashion a pickaxe of wood, gather two young trees, plant a bush, and taste a herb.""","['make_wood_pickaxe', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_plant']"
687,"['Eat Plant', 'Make Iron Sword', 'Make Stone Sword']","""Consume vegetation, forge both an iron and a stone weapon.""","['eat_plant', 'make_iron_sword', 'make_stone_sword']"
688,"['Collect Drink with count 2', 'Collect Wood', 'Make Iron Sword']","""Gather a beverage twice, accumulate lumber, and forge an iron blade.""","['collect_drink', 'collect_drink', 'collect_wood', 'make_iron_sword']"
689,"['Collect Sapling', 'Place Plant', 'Eat Plant']","""Gather a young tree, position it in the ground, and consume the vegetation.""","['collect_sapling', 'place_plant', 'eat_plant']"
690,"['Collect Coal', 'Make Stone Pickaxe', 'Make Wood Pickaxe', 'Collect Stone']"," ""Seek out coal in the earth's embrace, shape a sturdy pickaxe from stone and wood, and gather the stones that lie scattered across the land.""","['collect_coal', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone']"
691,"['Eat Cow', 'Defeat Skeleton', 'Collect Diamond with count 2']"," 'In this land of the virtual, an envoy must dine on a beast of the bovine, defeat a foe of the skeletal, and acquire a gem of worth, having a quantity of two.'","['eat_cow', 'defeat_skeleton', 'collect_diamond', 'collect_diamond']"
692,"['Defeat Zombie', 'Collect Coal', 'Place Plant']","Instruct the agent to vanquish the undead, gather carbon-based fuel, and position a vegetative organism.","['defeat_zombie', 'collect_coal', 'place_plant']"
693,"['Defeat Zombie', 'Make Iron Sword', 'Place Plant with count 2']"," ""Slay the wights, forge a sword of steel, and place two blossoms of the earth.""","['defeat_zombie', 'make_iron_sword', 'place_plant', 'place_plant']"
694,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
695,"['Collect Drink', 'Collect Stone with count 1', 'Place Stone']"," ""Secure a draught, then find a stone, and finally place it.""","['collect_drink', 'collect_stone', 'place_stone']"
696,"['Collect Wood', 'Place Table', 'Collect Sapling']"," 'Collect logs, build a sturdy table, and find a young sapling.'","['collect_wood', 'place_table', 'collect_sapling']"
697,"['Eat Plant', 'Wake Up', 'Collect Coal']","In the virtual environment, instruct the agent to consume vegetation, rouse from slumber, and gather coal.","['eat_plant', 'wake_up', 'collect_coal']"
698,"['Collect Wood', 'Place Table', 'Eat Plant']"," 'Secure firewood, assemble a board, and enjoy herbs.'.","['collect_wood', 'place_table', 'eat_plant']"
699,"['Collect Stone', 'Eat Plant', 'Place Stone']"," 'Collect small stones, munch on leaves and herbs, and place boulders.'","['collect_stone', 'eat_plant', 'place_stone']"
700,"['Collect Coal', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']","""Gather coal and wood, construct a wooden pickaxe, and position a table using the collected materials.""","['collect_coal', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
701,"['Collect Wood', 'Collect Stone', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']"," ""Seek out the timber and the stones, shape a table from them, and fashion a wooden pickaxe with the aid of the gathered materials.""","['collect_wood', 'collect_stone', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
702,"['Make Iron Sword', 'Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Forged be an Iron Sword, timber gathered, a Table set, and a Wooden Sword crafted.""","['make_iron_sword', 'collect_wood', 'place_table', 'make_wood_sword']"
703,"['Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Furnace with count 6']","""Vanquish the skeletal adversary, gather timber, construct a table, craft a wooden pickaxe, collect stones, and establish a furnace with a quantity of six.""","['defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace']"
704,"['Collect Stone', 'Place Stone', 'Collect Coal']"," 'Collect stones, lay them down, and then find lumps of coal.'","['collect_stone', 'place_stone', 'collect_coal']"
705,"['Collect Sapling', 'Collect Stone with count 2', 'Make Stone Pickaxe with count 1']"," ""Find a young tree, collect two rocks, and forge a pickaxe from the stones.""","['collect_sapling', 'collect_stone', 'collect_stone', 'make_stone_pickaxe']"
706,"['Make Wood Sword with count 2', 'Make Stone Pickaxe with count 1', 'Place Furnace']","""Craft a wooden sword twice, a stone pickaxe once, and then install a furnace.""","['make_wood_sword', 'make_wood_sword', 'make_stone_pickaxe', 'place_furnace']"
707,"['Make Stone Pickaxe', 'Place Plant with count 1', 'Eat Plant']","""Craft a stone pickaxe, position a single plant specimen, and consume a vegetal food source.""","['make_stone_pickaxe', 'place_plant', 'eat_plant']"
708,"['Eat Cow with count 2', 'Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe']"," ""Partake of two Bovines, lay low the Skeletal adversary, obtain Timber, fashion a Table, forge a Wooden Pickaxe.""The list of subtasks, with words replaced by their antonyms, would be: ""Abandon a Cow, ignite Light, diminish Grass, disassemble a Chair, discard a Sword.""The list of subtasks, with words replaced by their synonyms, would be: ""Fashion a Bow, prepare Fish, extract Ore, construct a Furnace, pursue Deer.""","['eat_cow', 'eat_cow', 'defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
709,"['Make Wood Pickaxe', 'Eat Cow with count 2', 'Collect Wood']"," ""Craft a pickaxe of wood, sup on a brace of oxen, and collect logs.""","['make_wood_pickaxe', 'eat_cow', 'eat_cow', 'collect_wood']"
710,"['Eat Cow', 'Collect Sapling', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']","""Consume a bovine, gather a young tree, position a piece of furniture, craft a wooden tool for mining, accumulate carbon, and manufacture an iron tool for mining.""","['eat_cow', 'collect_sapling', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
711,"['Collect Stone', 'Make Stone Pickaxe with count 2', 'Make Wood Pickaxe with count 1', 'Collect Stone', 'Make Stone Sword']"," ""Seek two stones to fashion a pickaxe of stone, a piece of wood to shape a pickaxe of wood, further stones to craft a sword of stone, and forge all these tools in fire.""","['collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
712,"['Make Iron Pickaxe with count 2', 'Eat Cow', 'Place Stone']","Instructive sentence:  'Fashion a pair of iron pickaxes, consume a cow, and lay down some stone.'","['make_iron_pickaxe', 'make_iron_pickaxe', 'eat_cow', 'place_stone']"
713,"['Eat Plant', 'Make Stone Sword', 'Make Wood Pickaxe', 'Collect Stone']"," ""Feast on the verdant gifts of nature, forge a stony blade, carve a wooden pick for the earth's embrace, and gather the rock's bounty.""","['eat_plant', 'make_stone_sword', 'make_wood_pickaxe', 'collect_stone']"
714,"['Make Wood Pickaxe with count 3', 'Collect Sapling', 'Make Wood Pickaxe']","""Gather materials to craft three wooden pickaxes, obtain a sapling, and manufacture a wooden pickaxe.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_sapling', 'make_wood_pickaxe']"
715,"['Collect Sapling', 'Place Plant', 'Collect Diamond']"," 'Pluck a young tree from the earth, place a seed in the ground, and find a gem in the mountains.'.","['collect_sapling', 'place_plant', 'collect_diamond']"
716,"['Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe with count 2']"," ""Forged two pickaxes of iron, crafted a pick of wood, and gathered a hoard of coal.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
717,"['Defeat Zombie', 'Wake Up with count 1', 'Place Plant with count 2', 'Eat Plant']","""Vanquish the undead creature, rouse yourself with a single count, situate a vegetation specimen twice, and ingest the flora.""","['defeat_zombie', 'wake_up', 'place_plant', 'place_plant', 'eat_plant']"
718,"['Make Wood Pickaxe with count 1', 'Defeat Skeleton', 'Wake Up']"," ""Fashion a wooden pickaxe, slay a skeleton, and awaken from your rest.""The subtasks can be rewritten as: ""Gather ten apples, create a wooden axe, and fell three oak trees"" could be rewritten as ""Collect ten fruits, craft a wooden tool, and chop down three trees.""The subtasks can be rewritten as: ""Mine five cobblestones, craft a stone pickaxe, and dig three holes"" could be rewritten as ""Extract five stones, manufacture a stone tool, and excavate three pits.""","['make_wood_pickaxe', 'defeat_skeleton', 'wake_up']"
719,"['Eat Cow', 'Defeat Zombie', 'Collect Wood']"," 'Gather logs, slay the wights, and feast on oxen in the digital world.'.","['eat_cow', 'defeat_zombie', 'collect_wood']"
720,"['Collect Diamond', 'Collect Stone', 'Make Stone Pickaxe']","""Gather a diamond, a rock, and a stone pickaxe.""","['collect_diamond', 'collect_stone', 'make_stone_pickaxe']"
721,"['Defeat Zombie', 'Wake Up with count 1', 'Place Plant with count 2', 'Eat Plant']"," ""Slay the ghastly revenant, rise with a single beat of the heart, place a sprig of greenery in twain, and taste the verdant brew.""","['defeat_zombie', 'wake_up', 'place_plant', 'place_plant', 'eat_plant']"
722,"['Eat Plant', 'Make Iron Sword', 'Make Stone Sword']"," ""Partake of the verdant gifts, and with skill and patience, shape both iron and stone into weapons worthy of a warrior.""","['eat_plant', 'make_iron_sword', 'make_stone_sword']"
723,"['Collect Stone', 'Make Stone Pickaxe', 'Eat Plant']"," ""Find a stone, shape it with care, and enjoy a tasty root or leaf.""","['collect_stone', 'make_stone_pickaxe', 'eat_plant']"
724,"['Collect Coal', 'Make Iron Pickaxe with count 1', 'Make Stone Sword']","""Seek coal, fashion an iron pickaxe, and forge a stone sword.""The subtasks, rewritten as a single instructive sentence for an agent in a virtual environment, would be:""Mine obsidian, kindle flint and steel, and craft a diamond pickaxe.""""Harvest wood, carve a wooden pickaxe, and quarry stone.""","['collect_coal', 'make_iron_pickaxe', 'make_stone_sword']"
725,"['Collect Wood', 'Collect Drink', 'Defeat Zombie']","Gather firewood, obtain a beverage, and vanquish the undead.","['collect_wood', 'collect_drink', 'defeat_zombie']"
726,"['Defeat Zombie', 'Make Wood Pickaxe with count 1', 'Defeat Zombie']","""Vanquish the undead adversaries and craft a single wooden pickaxe.""","['defeat_zombie', 'make_wood_pickaxe', 'defeat_zombie']"
727,"['Collect Sapling', 'Collect Coal', 'Make Iron Pickaxe with count 3']"," ""Find a sapling, delve into the earth for coal, and forge three sturdy iron pickaxes.""","['collect_sapling', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe']"
728,"['Collect Stone', 'Place Stone', 'Collect Sapling']"," 'Collect stones, place them with care, and nurture the young shoots.'","['collect_stone', 'place_stone', 'collect_sapling']"
729,"['Collect Sapling', 'Place Plant', 'Collect Iron']","""Gather a young tree, position it in the ground, and obtain metal.""","['collect_sapling', 'place_plant', 'collect_iron']"
730,"['Defeat Skeleton', 'Collect Sapling', 'Collect Wood', 'Place Table']"," ""Slay the bony foe, pluck a young tree, gather some wooden boards, and place a table in the marked spot.""","['defeat_skeleton', 'collect_sapling', 'collect_wood', 'place_table']"
731,"['Defeat Zombie with count 1', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']"," ""Slay the first of the undead hordes, craft a sturdy table from the remnants, fashion a wooden pickaxe for the gathering of stone, seek out the grey and hard resource, and place it with care upon the table.""","['defeat_zombie', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
732,"['Eat Cow with count 3', 'Eat Cow with count 1', 'Make Wood Sword']"," ""Partake of three portions of the flesh of the great beast of the field, and one morsel of such flesh, and craft a weapon of wood from the trees of the forest.""","['eat_cow', 'eat_cow', 'eat_cow', 'eat_cow', 'make_wood_sword']"
733,"['Collect Wood', 'Place Table', 'Collect Stone', 'Make Stone Pickaxe with count 2', 'Collect Iron with count 3', 'Make Iron Sword with count 2']"," 'Seek out the timber, build a table, gather the stones, craft a pickaxe of stone, twice, amass the iron, three times, and forge a sword of iron, twice.'","['collect_wood', 'place_table', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'collect_iron', 'collect_iron', 'make_iron_sword', 'make_iron_sword']"
734,"['Collect Wood with count 4', 'Place Table', 'Place Furnace']","""Gather timber four times, set up a table, and install a furnace in the given environment.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_furnace']"
735,"['Make Stone Sword', 'Collect Coal', 'Make Iron Pickaxe']"," ""Fashion a blade of stone, seek out a rock of bitumen, and forge an iron pick for mining.""","['make_stone_sword', 'collect_coal', 'make_iron_pickaxe']"
736,"['Collect Iron', 'Make Iron Sword', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe']","""Gather metal, forge an iron sword, harvest timber, set up a table, and craft a wooden pickaxe.""","['collect_iron', 'make_iron_sword', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
737,"['Make Stone Sword', 'Collect Coal', 'Make Iron Pickaxe']"," ""Fashion a blade of stone, seek out a rock of bitumen, and forge an iron pick for mining.""","['make_stone_sword', 'collect_coal', 'make_iron_pickaxe']"
738,"['Collect Drink', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']"," ""Secure a drink and a stone, then fashion a pickaxe of flint and chisel the iron from the mountain.""","['collect_drink', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
739,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
740,"['Collect Drink', 'Collect Drink', 'Make Iron Sword with count 1']"," ""Prepare a drink, and forge a single iron sword.""","['collect_drink', 'collect_drink', 'make_iron_sword']"
